case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
2055,ND,False,"Renville County, ND",Renville County,2p2c,8808.0,9834.1428,14581.571247782016,13786.9512,6754.78344,12027.3756,5773.31256,72953.5428,90489.046875
648,IL,True,"Kendall County, IL HUD Metro FMR Area",Kendall County,2p4c,22032.0,12811.9044,12732.435834321926,21305.268,12625.3212,22549.6752,17041.1172,124494.468,108138.1328125
1667,MT,False,"Silver Bow County, MT",Silver Bow County,1p1c,10320.0,5183.45028,13782.42603831288,7727.49756,5617.51176,7062.88848,6607.55052,53459.982,67459.390625
698,IL,False,"White County, IL",White County,1p2c,8400.0,6295.24584,14636.143614004413,14220.336,5324.66676,11837.11152,7476.57792,66520.524,62773.984375
2272,PA,True,"Gettysburg, PA MSA",Adams County,1p0c,8352.0,3766.17036,13273.636355678504,5500.53996,4390.89108,0.0,6147.40644,39269.1744,83362.875
2062,ND,False,"Stark County, ND",Stark County,2p2c,11208.0,10163.94648,18769.341962624752,13786.9512,7743.8994,13487.2392,6679.42164,77904.768,98664.6328125
2322,PA,True,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia County,2p2c,13818.3624,10103.98164,11427.937232047769,14227.8228,8668.0086,20372.1444,10119.86724,87821.0856,56599.6796875
2470,TN,False,"Claiborne County, TN",Claiborne County,1p4c,9900.0,11340.79908,13625.485794222774,14342.2752,7696.37916,9746.14092,1608.98436,67757.754,50453.09765625
2126,OH,False,"Monroe County, OH",Monroe County,1p0c,6576.0,2946.53544,13918.866671990867,4986.69,3450.39,0.0,4869.2754,34258.2948,57083.3125
760,IN,False,"Noble County, IN",Noble County,2p1c,9216.0,6557.59572,14758.98347448454,12850.512,5715.39588,6472.6392,7159.16376,62332.0728,68568.359375
447,GA,False,"Evans County, GA",Evans County,1p4c,9720.0,11523.717,12408.578709960448,14915.8716,7697.43672,9064.39452,4166.51556,69585.3396,52445.140625
1694,NE,False,"Clay County, NE",Clay County,2p3c,10956.0,10432.68456,12796.415392944351,26262.2436,7749.96384,18143.3088,11416.27368,101009.3208,73729.1875
1110,KY,True,"Clarksville, TN-KY MSA",Trigg County,1p4c,9120.17436,10572.55296,11327.245657022515,19397.5224,7135.45164,15120.8484,9314.65644,85612.9752,63941.484375
775,IN,True,"Scott County, IN HUD Metro FMR Area",Scott County,2p0c,7740.0,5192.75064,12769.842604731717,8906.69976,4686.04572,0.0,5972.53896,45152.9556,61704.03125
1249,MA,True,"Worcester, MA HUD Metro FMR Area | Eastern Worcester County, MA HUD Metro FMR Area | Fitchburg-Leominster, MA HUD Metro FMR Area | Western Worcester County, MA HUD Metro FMR Area",Worcester County,2p2c,16123.8324,10883.51736,11580.397242043446,13078.8312,9785.82792,22941.306,13273.9764,100645.242,98978.84375
1615,MO,False,"Washington County, MO",Washington County,2p3c,9948.0,10762.13892,12062.985904559751,17675.3412,7504.10004,10176.45708,6445.49196,77172.9084,51260.18359375
1065,KY,False,"Leslie County, KY",Leslie County,1p0c,5700.0,2915.41044,12514.292495443415,4618.79004,3121.70292,0.0,5345.46276,32990.9184,41081.2578125
1825,NM,False,"Chaves County, NM",Chaves County,1p0c,8172.0,3019.1616,15013.45229923217,4077.2802,4054.9992,0.0,5255.93556,35397.0972,53194.72265625
3122,WI,True,"Milwaukee-Waukesha-West Allis, WI MSA",Ozaukee County,2p4c,15273.186,14111.0136,14942.95793741226,21544.518,10647.05424,19664.808,12833.0232,109752.3048,106687.2265625
1850,NM,False,"Sierra County, NM",Sierra County,2p4c,12192.0,13215.0756,14662.36187932267,16360.7988,9205.98564,15040.482,5974.32828,86559.8316,43435.76953125
316,CT,True,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area | New Haven-Meriden, CT HUD Metro FMR Area | Waterbury, CT HUD Metro FMR Area |",New Haven County,1p2c,16509.9012,7639.4268,12266.758550666955,10452.27684,8750.25372,17788.95,12655.9692,85527.0876,92875.390625
1473,MS,False,"Newton County, MS",Newton County,1p4c,10476.0,9950.63676,13838.666393042613,17604.6036,7401.37572,4521.8046,3992.70708,67565.022,46842.77734375
35,AL,True,"Dothan, AL HUD Metro FMR Area",Houston County,2p0c,6769.89996,6162.82476,15327.66613270394,11186.95968,4686.03624,0.0,6841.02756,47911.3452,62393.03125
1257,MI,False,"Antrim County, MI",Antrim County,1p3c,12168.0,10430.42508,16785.706580215643,10237.44072,8188.3008,16139.202,8437.92996,79839.4044,68512.9140625
3059,WV,False,"Pocahontas County, WV",Pocahontas County,1p1c,8112.0,4342.47768,11975.641200387383,12860.8296,4512.74856,5960.15628,7110.6174,55599.8316,57034.02734375
1695,NE,False,"Colfax County, NE",Colfax County,1p0c,5808.0,3081.41232,13388.449872413097,6066.69,3220.98444,0.0,5202.71664,34721.3028,69273.7890625
1871,NY,False,"Essex County, NY",Essex County,1p2c,10236.0,7079.35176,11470.04068589721,9372.26004,6274.03488,17306.6592,8249.12916,72330.2232,70327.3125
2315,PA,False,"Mifflin County, PA",Mifflin County,1p3c,11640.0,8308.47588,14916.206996910709,13051.4496,7228.11984,16880.9652,7894.39824,78153.0348,60027.22265625
2708,TX,False,"McMullen County, TX",McMullen County,2p3c,12528.0,9993.41532,14715.558413615181,19172.772,8160.39696,9561.09744,4981.88268,81049.8636,67513.8125
524,GA,False,"Taliaferro County, GA",Taliaferro County,1p2c,7776.0,7572.21828,12346.770207209536,10132.80468,5561.26464,8173.779,4976.83992,57240.5916,47490.703125
1616,MO,False,"Wayne County, MO",Wayne County,2p4c,10296.0,12229.5456,12485.882299663292,27387.978,8161.89408,10209.22632,7815.33624,91195.9392,44098.0703125
1692,NE,False,"Cherry County, NE",Cherry County,1p0c,5808.0,3506.7924,13306.600426218365,7878.69,3375.1164,0.0,5964.41424,38388.1752,66162.5078125
656,IL,False,"McDonough County, IL",McDonough County,2p3c,11280.0,10066.62672,13523.871003145523,21570.8628,7734.72432,13602.1716,9385.45308,87851.256,72367.6171875
2733,TX,True,"Beaumont-Port Arthur, TX HUD Metro FMR Area",Orange County,1p1c,10153.78272,4357.76772,12768.12413678741,8336.23248,5258.1072,6411.09744,4336.96104,50258.73,75767.4375
2995,WA,False,"Grant County, WA",Grant County,2p2c,9720.0,8994.64164,11803.028225763557,13874.3004,6781.05252,12432.792,5222.328,72422.7072,65351.31640625
2625,TX,True,"Falls County, TX HUD Metro FMR Area",Falls County,1p0c,6480.0,2687.15748,14983.10924560562,5413.47984,3321.62292,0.0,4275.10944,33424.6728,53085.87890625
946,KS,True,"Kansas City, MO-KS HUD Metro FMR Area",Leavenworth County,2p1c,12573.6996,7220.45724,15257.678225786922,14009.1396,7172.2038,9992.36352,9702.45708,74489.502,88034.9296875
2499,TN,False,"Houston County, TN",Houston County,2p1c,8580.0,7386.17208,15798.055986188188,13763.274,5785.17408,5458.13268,5353.7304,60327.0528,56116.04296875
1396,MN,False,"Pope County, MN",Pope County,1p2c,8808.0,6788.11152,14628.123245665936,9689.95092,5651.08668,11234.63604,4703.49612,60692.976,81069.96875
2921,VA,True,"Richmond, VA MSA",Prince George County,2p1c,16762.77,7670.25588,11365.23265551263,12539.364,8853.04836,10815.16992,11953.41432,83218.8048,88286.5
2309,PA,True,"Lebanon, PA MSA",Lebanon County,2p3c,14328.0,11347.83396,10758.779244904921,17488.8252,9303.36696,20924.0376,10910.41404,99085.758,75450.1484375
557,HI,True,"Kahului-Wailuku-Lahaina, HI MSA",Maui County,1p1c,21269.8752,7917.88848,13740.151086101285,6927.8262,10575.87816,9005.19504,14305.3668,82170.7092,92012.8515625
1526,MO,True,"Springfield, MO HUD Metro FMR Area",Christian County,2p1c,9697.30512,6936.37428,13162.377600270756,11851.845,6027.03768,7192.04076,7038.48048,62202.234,72407.6640625
520,GA,False,"Stephens County, GA",Stephens County,1p3c,11124.0,8428.02252,12158.022541312856,12619.9248,7084.46856,9232.62672,5361.86316,66738.7788,61492.50390625
466,GA,False,"Hart County, GA",Hart County,2p1c,8376.0,6723.31056,14014.15693997999,12684.624,5471.07564,5207.5602,6845.0706,59126.6772,57610.07421875
2226,OK,True,"Fort Smith, AR-OK HUD Metro FMR Area",Sequoyah County,2p0c,6494.5254,5877.50868,13348.85212490918,10826.95968,4482.87564,0.0,6265.60176,47054.5776,50230.27734375
2797,TX,False,"Willacy County, TX",Willacy County,1p1c,8808.0,3318.02016,12862.372516080322,8226.5208,4393.73544,4669.08696,3344.91792,44859.8376,41038.12890625
1167,LA,True,"New Orleans-Metairie, LA HUD Metro FMR Area",St. John the Baptist Parish,2p0c,10066.875,6581.28876,13570.00853830603,11570.95968,6032.28588,0.0,7593.91776,54657.246,65974.6015625
1626,MT,False,"Carter County, MT",Carter County,2p2c,8808.0,9564.30252,12106.281613015806,15059.8212,6657.00948,14747.8332,9312.07836,81252.7908,62636.390625
2317,PA,True,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Montgomery County,2p2c,17173.4928,10883.51736,9823.553709466745,14227.8228,10166.16132,22975.5108,13475.5548,103320.6216,116070.359375
870,IA,True,"Plymouth County, IA HUD Metro FMR Area",Plymouth County,2p4c,12276.0,13707.8412,13696.77963521844,20061.1752,9414.97044,14529.3588,9795.81228,96323.0508,82945.984375
809,IA,False,"Carroll County, IA",Carroll County,1p3c,11592.0,8906.20824,14062.7485425707,11941.01808,7427.30928,11333.35476,7708.60548,72462.3924,82152.2421875
1664,MT,False,"Rosebud County, MT",Rosebud County,1p0c,6168.0,3299.28996,14868.535775371165,5013.2802,3430.3722,0.0,5562.08604,35060.1792,71449.640625
810,IA,False,"Cass County, IA",Cass County,1p0c,6228.0,2967.28584,16044.27315735708,4950.69,3331.81452,0.0,5387.05848,34005.9168,68206.921875
1239,MA,True,"Springfield, MA MSA",Hampden County,2p0c,10228.8618,6391.07736,9877.024438000448,8697.0798,6022.05912,0.0,7151.2932,50296.6524,74012.59375
1404,MN,True,"Duluth, MN-WI MSA",St. Louis County,1p1c,10610.90844,4862.3514,13363.207062230173,7790.6352,5606.57232,11417.70624,6897.82392,57842.0388,78970.109375
1693,NE,False,"Cheyenne County, NE",Cheyenne County,2p3c,12504.0,11274.62112,14928.815828847652,27351.3132,8615.93184,18384.2916,12708.5232,105714.6912,76082.6796875
477,GA,True,"Macon-Bibb County, GA HUD Metro FMR Area",Jones County,2p2c,9078.98364,8694.82032,12601.336518142067,15343.2432,6440.1504,10024.7424,7026.75372,71108.3496,66276.484375
2351,SC,False,"Barnwell County, SC",Barnwell County,1p3c,10776.0,8188.92924,16557.233229974936,11185.33296,6871.74168,7583.97,3012.2226,60356.226,52139.14453125
129,AR,True,"Memphis, TN-MS-AR HUD Metro FMR Area",Crittenden County,2p3c,11514.48048,10835.35176,12791.206940098524,16806.4272,8098.22604,14961.9744,8057.16432,84673.2072,52440.0078125
3049,WV,False,"Mercer County, WV",Mercer County,1p1c,8112.0,4327.18692,14212.86242502602,11854.93356,4507.2078,5911.60944,6366.86724,52151.9184,52988.33203125
2704,TX,True,"Lubbock, TX HUD Metro FMR Area",Lubbock County,2p0c,8834.77884,5858.48772,11701.461114292915,10178.95968,5323.94976,0.0,5315.39832,47419.866,71320.2578125
2687,TX,False,"King County, TX",King County,1p4c,13284.0,10353.05196,11377.092291136101,16385.712,8564.63676,9976.01004,3123.94524,75041.3904,51769.48828125
915,KS,False,"Dickinson County, KS",Dickinson County,2p4c,11640.0,13887.0276,13373.818374606144,22794.3984,9249.44976,9840.16116,7122.22632,89750.982,65084.34375
1181,LA,False,"West Carroll Parish, LA",West Carroll Parish,2p1c,8700.0,7007.39424,14060.858195542607,15770.7564,5691.408,4228.77936,7082.79276,62363.0916,51323.84765625
3074,WV,True,"Parkersburg-Vienna, WV MSA",Wirt County,1p4c,7783.43412,10023.80352,15056.533135910715,21871.1556,6452.26464,14815.434,8885.14824,84525.6096,56578.11328125
1291,MI,True,"Kalamazoo-Portage, MI MSA",Kalamazoo County,1p0c,7567.845,3081.41232,14046.055735936796,4609.34988,3858.64596,0.0,5030.96892,33949.8576,79515.3515625
3111,WI,False,"Lincoln County, WI",Lincoln County,2p3c,12336.0,11091.59184,11749.903332715057,18471.2004,8488.74024,17720.73,9885.906,93089.9652,75255.0546875
1172,LA,True,"Hammond, LA MSA",Tangipahoa Parish,2p3c,13296.0,11677.28688,13855.67399817886,21581.5836,9048.8064,10715.1204,8806.875,89396.2848,62035.6953125
2104,OH,False,"Harrison County, OH",Harrison County,1p4c,10956.0,10389.63576,13168.235779999473,14052.1788,7734.36552,13587.2976,4910.9766,75927.1932,59927.62109375
3131,WI,False,"Rusk County, WI",Rusk County,2p2c,8808.0,8964.65988,11688.357247382677,19534.9308,6439.73508,15340.2396,9486.31272,83842.0776,59720.203125
149,AR,False,"Lawrence County, AR",Lawrence County,2p2c,7848.0,8335.03488,11925.928258681904,14477.172,5863.75164,9122.00688,5580.05856,65381.2212,52272.6328125
2013,NC,True,"Goldsboro, NC MSA",Wayne County,2p3c,12348.0,10213.05108,10792.980994543987,21623.4696,8174.75904,14924.7468,9775.57032,91513.4412,56049.30078125
120,AR,False,"Chicot County, AR",Chicot County,2p2c,7848.0,8724.80352,12604.129743237787,14477.172,6004.98012,9222.8298,5647.83216,65694.48,43640.10546875
529,GA,False,"Thomas County, GA",Thomas County,1p0c,7128.0,3496.41756,12460.110655076238,5206.79004,3849.6456,0.0,5875.65816,36254.142,57419.0859375
2869,VA,False,"Charlotte County, VA",Charlotte County,2p0c,6672.0,5630.235,14893.636691465044,10605.58008,4457.58504,0.0,6575.48076,47383.3128,58828.91796875
1353,MN,False,"Crow Wing County, MN",Crow Wing County,2p1c,9504.0,7267.80396,16181.035929746136,10680.5874,6077.08632,6896.77296,6760.20708,61410.48,72080.109375
994,KS,False,"Wallace County, KS",Wallace County,2p0c,6540.0,5934.57168,9599.648796455018,12565.38,4520.0292,0.0,6987.84012,50851.6236,81290.734375
672,IL,False,"Ogle County, IL",Ogle County,2p2c,9576.0,8365.01736,14063.445733157092,17235.738,6500.7378,12309.678,9063.28932,78129.9732,76971.90625
2064,ND,False,"Stutsman County, ND",Stutsman County,1p2c,8808.0,7168.96368,14541.139366438669,9148.26048,5789.0838,12096.84,4041.64452,59247.5628,78251.3359375
2321,PA,True,"Harrisburg-Carlisle, PA MSA",Perry County,1p4c,12348.0396,12218.7972,13775.127765105059,15010.8672,8901.53316,19617.0648,10226.32032,92703.51,77354.9140625
2277,PA,True,"Reading, PA MSA",Berks County,1p0c,7536.0,3299.28996,12832.199331878617,5404.53996,3926.0526,0.0,5399.12508,35269.992,79812.109375
754,IN,False,"Martin County, IN",Martin County,1p2c,8784.0,5959.2012,12224.84164984836,8932.93656,5342.04312,13023.7512,5208.32412,59985.3168,68044.6796875
2696,TX,False,"Lee County, TX",Lee County,2p0c,9384.0,6029.67768,13110.99547799362,11013.58008,5584.98336,0.0,6026.4726,51753.6216,65548.46875
1913,NY,True,"Glens Falls, NY MSA",Washington County,2p1c,11524.92408,9090.6738,13942.96290629839,15887.0196,7469.84472,10448.73996,11006.82792,80053.3416,70658.984375
662,IL,False,"Marion County, IL",Marion County,1p2c,8400.0,6541.6794,12140.839086458242,14220.336,5413.9596,11799.85908,7394.92164,66196.7112,62271.8671875
1090,KY,False,"Nicholas County, KY",Nicholas County,2p0c,6036.0,5230.79292,13495.342883791565,9477.58008,4082.40348,0.0,6414.38304,44705.976,50161.48046875
1578,MO,True,"Joplin, MO MSA",Newton County,2p4c,11375.29908,11691.9822,13476.204671749556,19391.2776,8358.186,14265.5724,6809.12472,86636.6664,64006.17578125
1429,MS,False,"Calhoun County, MS",Calhoun County,2p2c,8208.0,9294.46368,14121.258093765147,17674.4868,6341.83224,4178.55468,5989.38276,65951.9184,46742.1484375
453,GA,True,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Fulton County,2p4c,18532.4112,16574.8404,11305.48759365542,20340.1272,12720.7416,14304.2232,12185.0544,108122.1684,98122.46875
3145,WI,False,"Waupaca County, WI",Waupaca County,1p2c,8808.0,6026.41008,13401.322278189045,10081.3308,5375.09184,15509.9976,7075.42164,66095.1852,74928.5234375
2447,SD,False,"Sanborn County, SD",Sanborn County,2p3c,10848.0,11567.46972,11260.74407367014,22534.272,8122.0086,13185.7476,6283.656,88426.002,72859.46875
2297,PA,True,"Pittsburgh, PA HUD Metro FMR Area",Fayette County,2p0c,7473.0498,5535.13032,14115.017754348586,7329.0798,4713.3768,0.0,5856.48816,44167.5732,64465.1640625
1198,ME,False,"Somerset County, ME",Somerset County,2p0c,7272.0,6410.09844,11993.928709566342,10492.36008,4957.56372,0.0,6153.21456,48483.978,56635.6171875
83,AK,False,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,1p1c,9912.0,4881.53352,12215.761309871503,9559.66548,5360.28036,9167.33784,5198.94912,55267.8276,49140.8125
488,GA,True,"Brunswick, GA MSA",McIntosh County,1p0c,7723.6458,3309.66504,13114.150767250016,4453.47984,3997.8036,0.0,5930.24016,36518.6484,70091.1484375
2891,VA,True,"Richmond, VA MSA",Hanover County,2p2c,14520.2172,9714.21384,14867.955800450232,15091.77,8781.09012,16890.462,11654.7576,92073.012,107879.375
10,AL,False,"Cherokee County, AL",Cherokee County,2p1c,7608.0,7693.92924,13979.069977461877,14182.746,5544.4926,4871.89272,7552.84356,61177.1892,57031.97265625
1590,MO,False,"Pulaski County, MO",Pulaski County,1p0c,6552.0,3278.53968,14627.140788889794,6618.69,3561.9924,0.0,5502.61344,35935.1544,66286.7578125
1344,MN,True,"Duluth, MN-WI MSA",Carlton County,2p3c,13802.4744,11896.92264,12916.73431699799,18774.5568,9311.90556,22059.6876,12484.2348,103645.1136,79121.0546875
1365,MN,True,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Isanti County,1p2c,14474.4612,6653.6946,9980.093337617225,9433.38576,7655.56416,23068.068,12866.484,87694.9104,86892.0703125
1869,NY,True,"Poughkeepsie-Newburgh-Middletown, NY HUD Metro FMR Area",Dutchess County,2p4c,21993.7644,15992.4804,14944.163796618048,18501.0408,13763.9148,35781.1056,23196.0624,145496.844,104990.90625
1452,MS,True,"Pascagoula, MS HUD Metro FMR Area",Jackson County,1p3c,13596.0,9982.125,14586.968452260871,14294.4972,8543.28444,9445.97832,7985.4294,76913.3556,67562.0703125
2592,TX,False,"Cochran County, TX",Cochran County,1p0c,6456.0,3174.7884,15000.746497911201,5506.79004,3489.61452,0.0,4482.63684,34671.3228,59858.82421875
1117,KY,False,"Whitley County, KY",Whitley County,2p0c,6984.0,5135.68764,12213.97633224123,9237.58008,4391.4408,0.0,6442.48824,44846.4576,50891.55078125
2949,VA,True,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",Chesapeake city,1p3c,20809.9848,9085.52712,14961.120511779736,13218.5532,10832.3232,19628.6196,15876.7344,102283.3008,92981.1484375
1320,MI,False,"Oscoda County, MI",Oscoda County,2p3c,12360.0,10579.11036,13982.252566668943,15036.4392,8311.74468,15905.196,8128.75776,85995.252,50802.21875
2845,VT,False,"Orleans County, VT",Orleans County,1p0c,7104.0,3662.4192,13398.104047183464,6782.17968,3901.09824,0.0,5846.049,38590.1544,60752.1640625
964,KS,True,"Topeka, KS MSA",Osage County,2p2c,8508.46068,9204.51636,14967.815726393488,17670.0792,6418.11036,13813.3848,8369.3826,79031.8824,67287.9140625
2252,OR,True,"Grants Pass, OR MSA",Josephine County,1p4c,18996.0,11889.5478,13721.104344542144,16192.4016,11191.0518,20388.5052,18932.5776,111673.1832,55987.69140625
2806,TX,False,"Zavala County, TX",Zavala County,1p4c,10956.0,8889.7236,11093.307810250439,16385.712,7190.88864,9209.17164,1495.81248,67201.0428,37248.11328125
399,GA,False,"Banks County, GA",Banks County,1p2c,8208.0,6900.12744,16847.18354547293,10108.87944,5474.27052,8102.6184,4892.27748,56860.9104,57068.9375
1969,NC,True,"Jones County, NC HUD Metro FMR Area",Jones County,1p1c,8316.0,4632.99504,12280.260328750392,9503.7912,4691.93148,7611.78444,6455.28516,53578.0548,52802.4765625
1515,MO,True,"St. Joseph, MO-KS MSA",Buchanan County,1p1c,9952.32492,4281.31536,13738.620248752502,9984.63576,5157.40944,7053.29076,6103.84392,52624.4004,65332.83203125
2915,VA,False,"Orange County, VA",Orange County,2p2c,10836.0,9984.05268,12547.130700098904,15842.3172,7543.92624,12260.1312,9401.55468,81568.8048,85721.4921875
2071,OH,False,"Adams County, OH",Adams County,2p1c,8808.0,6344.53272,14077.24035168767,10603.32864,5490.36036,6785.346,5658.672,57127.6932,50041.33984375
1858,NY,True,"New York, NY HUD Metro FMR Area",Bronx County,2p2c,20096.0628,10073.99928,13563.042142523915,18217.5588,10931.80368,32258.5512,17574.8124,115611.5508,48566.81640625
1114,KY,False,"Washington County, KY",Washington County,1p2c,8088.0,5981.60448,14097.940707073003,9247.58352,5097.9726,10883.30196,5646.53904,58162.236,66418.1875
1575,MO,False,"Montgomery County, MO",Montgomery County,1p0c,5484.0,2894.66016,12126.312495940238,7110.69,3035.91912,0.0,5338.20888,35129.358,58627.66015625
1787,NH,False,"Belknap County, NH",Belknap County,1p1c,12684.0,5718.61416,13303.506223717013,5804.14308,6667.99296,8310.86136,5457.39444,56776.8696,87885.015625
